card_name
bulbizarre 1 165
herbizarre 2 165
florizarre ex 3 165
salameche 4 165
reptincel 5 165
dracaufeu ex 6 165
carapuce 7 165
carabaffe 8 165
tortank ex 9 165
chenipan 10 165
chrysacier 11 165
papilusion 12 165
aspicot 13 165
coconfort 14 165
dardargnan 15 165
roucool 16 165
roucoups 17 165
roucarnage 18 165
rattata 19 165
rattatac 20 165
piafabec 21 165
rapasdepic 22 165
abo 23 165
arbok ex 24 165
pikachu 25 165
raichu 26 165
sabelette 27 165
sablaireau 28 165
nidoran 29 165
nidorina 30 165
nidoqueen 31 165
nidoran 32 165
nidorino 33 165
nidoking 34 165
melofee 35 165
melodelfe 36 165
goupix 37 165
feunard ex 38 165
rondoudou 39 165
grodoudou ex 40 165
nosferapti 41 165
nosferalto 42 165
mystherbe 43 165
ortide 44 165
rafflesia 45 165
paras 46 165
parasect 47 165
mimitoss 48 165
aeromite 49 165
taupiqueur 50 165
triopikeur 51 165
miaouss 52 165
persian 53 165
psykokwak 54 165
akwakwak 55 165
ferosinge 56 165
colossinge 57 165
caninos 58 165
arcanin 59 165
ptitard 60 165
tetarte 61 165
tartard 62 165
abra 63 165
kadabra 64 165
alakazam ex 65 165
machoc 66 165
machopeur 67 165
mackogneur 68 165
chetiflor 69 165
boustiflor 70 165
empiflor 71 165
tentacool 72 165
tentacruel 73 165
racaillou 74 165
gravalanch 75 165
grolem ex 76 165
ponyta 77 165
galopa 78 165
ramoloss 79 165
flagadoss 80 165
magneti 81 165
magneton 82 165
canarticho 83 165
doduo 84 165
dodrio 85 165
otaria 86 165
lamantine 87 165
tadmorv 88 165
grotadmorv 89 165
kokiyas 90 165
crustabri 91 165
fantominus 92 165
spectrum 93 165
ectoplasma 94 165
onix 95 165
soporifik 96 165
hypnomade 97 165
krabby 98 165
krabboss 99 165
voltorbe 100 165
electrode 101 165
noeunoeuf 102 165
noadkoko 103 165
osselait 104 165
ossatueur 105 165
kicklee 106 165
tygnon 107 165
excelangue 108 165
smogo 109 165
smogogo 110 165
rhinocorne 111 165
rhinoferos 112 165
leveinard 113 165
saquedeneu 114 165
kangourex ex 115 165
hypotrempe 116 165
hypocean 117 165
poissirene 118 165
poissoroy 119 165
stari 120 165
staross 121 165
m. mime 122 165
insecateur 123 165
lippoutou ex 124 165
elektek 125 165
magmar 126 165
scarabrute 127 165
tauros 128 165
magicarpe 129 165
leviator 130 165
lokhlass 131 165
metamorph 132 165
evoli 133 165
aquali 134 165
voltali 135 165
pyroli 136 165
porygon 137 165
amonita 138 165
amonistar 139 165
kabuto 140 165
kabutops 141 165
ptera 142 165
ronflex 143 165
artikodin 144 165
electhor ex 145 165
sulfura 146 165
minidraco 147 165
draco 148 165
dracolosse 149 165
mewtwo 150 165
mew ex 151 165
fossile dome ancien 152 165
fossile nautile ancien 153 165
vieil ambre ancien 154 165
gros ballon 155 165
transfert de leo 156 165
piste cyclable 157 165
aide de nina 158 165
stickers energie 159 165
invitation d'erika 160 165
charisme de giovanni 161 165
pince attrapeuse 162 165
restes 163 165
lunettes de protection 164 165
bandeau rigide 165 165
bulbizarre 166 165
herbizarre 167 165
salameche 168 165
reptincel 169 165
carapuce 170 165
carabaffe 171 165
chenipan 172 165
pikachu 173 165
nidoking 174 165
psykokwak 175 165
tetarte 176 165
machopeur 177 165
saquedeneu 178 165
m. mime 179 165
amonita 180 165
draco 181 165
florizarre ex 182 165
dracaufeu ex 183 165
tortank ex 184 165
arbok ex 185 165
feunard ex 186 165
grodoudou ex 187 165
alakazam ex 188 165
grolem ex 189 165
kangourex ex 190 165
lippoutou ex 191 165
electhor ex 192 165
mew ex 193 165
transfert de leo 194 165
aide de nina 195 165
invitation d'erika 196 165
charisme de giovanni 197 165
florizarre ex 198 165
dracaufeu ex 199 165
tortank ex 200 165
alakazam ex 201 165
electhor ex 202 165
invitation d'erika 203 165
charisme de giovanni 204 165
mew ex 205 165
echange 206 165
energie psy de base 207 165
cancrelove et mouscoto gx 1 214
chenipan 2 214
chrysacier 3 214
papilusion 4 214
mystherbe 5 214
mystherbe 6 214
ortide 7 214
rafflesia 8 214
mimitoss 9 214
mimitoss 10 214
aeromite 11 214
aeromite gx 12 214
chetiflor 13 214
boustiflor 14 214
empiflor 15 214
saquedeneu 16 214
bouldeneu 17 214
larvibule 18 214
katagami 19 214
reshiram et dracaufeu gx 20 214
caninos 21 214
arcanin 22 214
darumarond 23 214
darumacho 24 214
volcanion 25 214
flamiaou 26 214
flamiaou 27 214
